优先级,类别,文件/模块,问题描述,建议方案,完成
P1,性能/后端,backend/app.py:443 中间件链,缺少 GZipMiddleware；dashboard、paper detail、study archive 这些 JSON 经常 几十 KB 没压缩。,"from fastapi.middleware.gzip import GZipMiddleware; app.add_middleware(GZipMiddleware, minimum_size=1024)；放在 CORS 之后、InputValidation 之前。SSE 路径自动跳过（小心不要压缩 EventStream，需要为 /api/tasks/.../stream 类路径单独标 Cache-Control: no-store）。",是
P1,性能/后端,backend/database/engine.py:67-80 SQLite PRAGMA,WAL 已开但缺 synchronous=NORMAL（WAL 下安全且明显加速写）、temp_store=MEMORY、cache_size、mmap_size。,在 _on_sqlite_connect 中追加：PRAGMA synchronous=NORMAL; PRAGMA temp_store=MEMORY; PRAGMA cache_size=-32000; PRAGMA mmap_size=268435456; 并把 PRAGMA 集中到 sqlite_pragmas() 工具函数便于测试。,是
P1,性能/后端,backend/database/engine.py:41-48 + sqlite,DB_POOL_SIZE/MAX_OVERFLOW 写得像 Postgres 那样 5/10——但 sqlite+aiosqlite 实质上写都串行，pool 大小对写并发无意义；写入瓶颈仍在锁。,文档化 pool 真实含义；为 study_materials、tasks、question_library 等大型批量写引入 ''串写线程 + 批提交''（commit-batching），减少锁占用次数；高吞吐路径考虑迁移 PostgreSQL（已有 SQLAlchemy 抽象，迁移成本可控）。,是
P1,AI链条,backend/chat/llm_mixin.py:80-145 _build_messages,上下文按字符数预算（CHAT_CONTEXT_MAX_CHARS）裁剪历史，不是 token；client.py 已有 _estimate_messages_tokens() 但不用；中文 1 字符 ≈ 0.6 token，预算偏差大。,_build_messages 改用 _estimate_messages_tokens 做 token 级裁剪；按角色给不同优先级（最新 user、最新 assistant、tool message > 早期 system 注释）；超长 tool 输出走 RAG 摘要而不是直接截断。,是
P1,AI链条/能力,所有 chat_completion 调用,完全没有 prompt caching 支持；ReAct 控制器系统提示、agent/core SYSTEM_INSTRUCTIONS、lesson_plan 系统提示等都是 1-3K 的稳定前缀，每轮重新计费。,在 ChatCompletionResult 上游 messages 协议引入可选 cache_control 字段（如 OpenRouter 的 anthropic.cache_control 或 prompt_tokens_details.cached_tokens 解析）；把固定 system prompt 与 ''稳定的 working memory summary'' 标记为 cacheable；client.py 的 record/replay 也要识别 cache hit。,是
P1,AI链条,backend/agent/core.py:111 _summarize_subagent,子摘要复用 self.config.summarizer_model or planner_model——若没有专门 summarizer，所有摘要都打到主 planner 模型，成本与延迟拉满。,建立 model tier 路由：fast/cheap（summarizer、轻判断）/ main（planner/writer）/ heavy（reasoning/review）；通过 settings.model_tier_map 注入 + 单元测试覆盖每个 tier 默认值；改造调用点显式指定 tier。,是
P1,AI链条,backend/chat/service.py:80-100 工具调用循环,循环是同步的，每轮 _call_api 用 stream=False，模型在选工具时用户什么都看不到；并且 tool_calls 超过 3 直接被截掉（chat/service.py:101-102）而非分轮处理。,_call_api 也用 stream=True 把 thinking/content 推给前端；移除粗暴的 [:3] 截断，改为按工具是否互斥决定并发或分轮；并发执行 execute_tool（asyncio.gather）。,是
P1,AI链条,backend/agent/react/loop.py:341-363 _llm_decide,ReAct 决策只用 response_format=json_object；没有用 tool-use/structured output schema 校验；对模型偶发返回 ''```json {...}```'' 仅靠 _extract_first_json_object 兜底，错一格就空决策。,优先用 tools=[ReActDecision schema] + tool_choice=required（OpenRouter 支持 OpenAI tool-use）；服务端再用 pydantic 校验；解析失败时降级到 json_object + 字符串修复 + 一次重决策（让模型 self-correct）。,是
P1,AI链条/可靠性,backend/llm/client.py:1369-1378 except Exception,所有路径都把异常吞成 ChatCompletionResult()（content=''）+ 仅 logger.warning 一次；上游拿到空字符串只能盲猜：是模型限流、是 reasoning 配置错、还是网络断了？,chat_completion 默认改为 raise_on_fail=True；调用方逐个评估是否需要 fallback 行为；日志中加 error_code 字段（network/timeout/4xx/5xx/parse/empty_content）便于聚合。,是
P1,前端布局,frontend/src/components/layout/Header.tsx:42-53 vs ManusLayout.tsx:5-7,导航项在 Header.tsx 写一份 navItems，又在 ManusLayout.tsx 写一份 STUDIO/WIDE 路径列表；新加路由要同时改两处，已经出现''canvas 在 layouts/ManusLayout 是 fullscreen 但 components/layout/ManusLayout 是 fullScreenPage''等不一致。,"合并为单一 ROUTE_CONFIG: { path, label, icon, layout: 'fullscreen'|'wide'|'studio'|'standard', sidebar: boolean, navGroup, requireAuth }；Header、ManusLayout、CommandPalette 都从同一表派生。",是
P1,前端布局,frontend/src/components/layout/ManusLayout.tsx:32 pageManagesOwnScroll,Layout 决定 main 是否 overflow-auto，是个反向控制；页面想做''内部头/列表 + 内部滚动''要先看 Layout 是否给了 overflow-hidden。,Layout 始终提供 main 的滚动容器；页面内通过 sticky 或 grid-rows-[auto_1fr] 自行处理粘性区域；TaskCenterPage、QuestionLibrary 等已经这样做的页面去掉重复 hidden 处理。,是
P1,前端布局,frontend/src/components/layout/Header.tsx:118 NotificationCenter 渲染位置,NotificationCenter 嵌在 Header 内部，意味着切换 Header 实现就丢通知；通知本应是 layout 级关注。,把 <NotificationCenter />、<ToastHost />、<CommandPalette /> 都集中到 ManusLayout 的根；Header 只负责 nav + 用户菜单；这样路由切到 fullscreen 时也能拿到通知。,是
P1,代码质量/前端,frontend/ 全局 ''as any'' 共 378 处,语言 type 校验被广泛绕过：instance.ts 27 处、useChat.ts 3 处、HistorySidebar 7 处等；新人无法依赖类型修改。,启用 typescript-eslint 的 no-explicit-any、no-unsafe-assignment、no-unsafe-member-access；逐文件加 eslint-disable + // TODO(any-cleanup)；按域分批清理；为 instance.ts/sse.ts 优先补完整 Response/Error 类型。,是
P1,代码质量/后端,backend/* 70+ 个 ''except Exception:'' 静默吞错,backend/llm/client.py 单文件 20+ 处 except Exception 直接 pass / debug；配合大量 raise_on_fail=False，错误调试链断裂。,"建 backend/core/exception_policy.py：禁止裸 except；改 except (httpx.HTTPError, asyncio.TimeoutError) 等具体类型；保留兜底必须 logger.exception(...) 而非 logger.debug；CI 用 ruff 规则 BLE001 阻止新增。",是
P2,AI链条,backend/study_materials/orchestrator.py（1029 行）+ question_library/runner.py（979 行）+ agent/streaming.py（635 行）,三个''上帝文件''各自承担：编排 + 持久化快照 + 阶段推断 + DB 读写 + 事件构造，难以单测、难以加新阶段。,"按职责拆分：orchestrator/{coordinator.py,resume.py,snapshot.py}、runner/{schedule.py,session.py,scoring_loop.py}、streaming/{archive.py,timing.py,semantic_docs.py}；每个文件单一职责 + 单元测试。",是
P2,AI链条,backend/paper_compose/workflow.py 1222 行 + export.py 861 行,paper_compose 是体量第二大的 god module；workflow 把 ''解析 filter / select slot / fill shortfalls / 写入 paper / SSE 进度''全混在一处；export.py 把 markdown/latex/docx 三种渲染都堆一起。,"workflow 拆为 {compose.py, slot_loop.py, shortfalls.py, persist.py}；export 按目标格式拆 {markdown.py, latex.py, docx.py}，公共转义工具到 export/_tex_escape.py；每文件 < 300 行。",是
P2,AI链条,backend/agent/tool_dispatch.py（602 行）,dispatch + step block + foreach + 内部状态管理混合，且与 agent/core.py 双向回调（lambda 注入）耦合严重。,抽出 ExecutionStrategy 接口（SequentialStrategy/ParallelStrategy/PerKnowledgePointStrategy），core 只持有 ToolDispatcher + Strategy；写策略级单测覆盖''中途中断''/''部分失败''等行为。,是
P2,AI链条,backend/chat/tools_mixin.py:186-410 execute_tool,一个巨型 if/elif 把工具分发硬编码；新加工具改两处（schema + 分发）；类型转换 _coerce_with_schema 也内嵌在 mixin 里。,"提取 ToolRegistry：每个工具一个 dataclass {name,schema,handler}；execute_tool 统一调度；与 backend/agent/tools/registry.py 合并避免双注册。",是
P2,AI链条,backend/deepthink/service.py:118-143 _propose,对每个候选用单次 LLM 提议 N 个，再单独评估每个；同一深度多个 propose 是顺序的；ToT 可以 n>1 + asyncio.gather，提速 2-3x。,启用 chat_completion 的 n 参数（如供应商支持）或对独立分支 asyncio.gather 并发提议；评估也可批 N 道；ToTEngine.search 内做并发。,是
P2,AI链条,backend/agent/core.py:686-693 semantic_store.upsert,在 done 事件之前 await asyncio.wait_for upsert，最多阻塞 3s。用户感知到任务''早就完成''却卡在最后。,改为 asyncio.create_task(...) 后台 fire-and-forget；失败仅打日志；添加任务级 ''post-done jobs'' 队列承载这种异步收尾。,是
P2,AI链条,backend/agent/react/loop.py:269-312 _format_observation,观察预览统一截到 260 字，wikipedia 摘要、code、数学公式经常被砍到不可读；并按 tool 类型一刀切。,建 per-tool observation policy：search-tool 截 600 字、aggregate-tool 给前 N 个 facts、generate_study_material 只显示进度而非全文；预览截断点放在 tool registry 的 metadata。,是
P2,AI链条/可观测,backend/llm/client.py llm_console + record_replay,日志走 console.log_*，但缺 cost/usage 聚合 + per-feature dashboard；replay 模式存在 但没暴露给开发者方便回放某次 ReAct 失败。,新增 backend/llm/metrics.py：每次调用累计 tokens/cost 到 prometheus；新增 scripts/replay_llm.py 把 .local/llm/ 下的 record 文件转成可重放的本地 fixtures；前端 /api/system/llm-debug 暴露最近 N 次调用。,是
P2,AI链条,backend/lesson_plan、backend/paper_compose、backend/question_library,每个域都自带 prompts.py + llm.py + service.py，prompts 风格、retry 策略、错误处理各异；没有共同 LlmClient 抽象（直接 import chat_completion）。,抽象 backend/llm/runner.py 提供 run_text/run_json/run_tool_use 三类标准入口；各域只关心 ''messages 怎么拼''与''怎么解析''；retry/timeout/记录从域里下沉到 runner。,是
P2,AI链条/Prompt,backend/agent/core.py:37 SYSTEM_INSTRUCTIONS（英文）+ react/prompts.py（中英混杂）,系统提示风格不统一：core.py 全英文，react 控制器中英文夹叙，agentic/prompts.py 是注册表式。多种风格让模型在不同链路表现波动。,统一为单一''输出语言跟随用户''的 system prompt 模板，业务规则附加到 user prompt；引入 prompt linter（定义 must-have 字段：persona/output-format/language-policy/safety）。,是
P2,AI链条,backend/llm/client.py:466-492 cap_max_tokens_for_messages 与 :608-646 _cap_max_tokens_with_ctx_len,几乎相同的算法在两个函数中；上面一个用内置/env 表查 ctx_len，下面一个用 OpenRouter /models 探测来的 ctx_len。,"合并为 cap_max_tokens(messages, ctx_len, requested, max_completion=None)；上层各自决定如何提供 ctx_len。",是
P2,AI链条/可靠性,backend/chat/llm_mixin.py:218-256 _run / await bg / except BaseException,流式后台任务在 finally 写 await bg；except BaseException 会吞掉 KeyboardInterrupt/SystemExit，导致 Ctrl+C 退不掉服务。,只 except Exception；用 asyncio.shield 或 task.cancel + asyncio.wait_for(timeout=N) 优雅取消；SystemExit/KeyboardInterrupt 必须传播。,是
P2,AI链条,backend/agent/policy.py:_policy_state ''_study_policy'' magic key,StudyMaterialsPolicy 状态用 ctx.working_memory[''_study_policy''] 存——working_memory 同时承载 KP 数据、search 结果、URL、错误等，这种 magic key 对未来添加新策略容易冲突。,抽出 dataclass PolicyState 单独存 ctx.policy_state；CompressedContext 增加 policy_state 字段；policy.py 不再触碰 working_memory。,是
P2,前端布局,frontend/src/components/shared/CommandPalette.tsx,目前 palette 只有少量动作；现代''命令面板''应能跳转任何路由 + 触发新建对话/新任务/打开题库等。,与 ROUTE_CONFIG 联动自动注入''跳转到 X''命令；额外注入 actions: 新建蓝图、新建教案、上传文件、切主题、打开任务中心等；快捷键 Cmd-K 已有，再加 Cmd-/ 显示快捷键全表。,是
P2,前端布局,frontend/src/components/layout/HistorySidebar.tsx:251-256 5s 轮询 runningTasks,sidebar 每 5s 拉一次 running tasks；dashboard 也每 5s 拉一次；多个组件独立轮询同一资源。,共享单一 useQuery({queryKey:['runningTasks']}) + refetchInterval；或改为 SSE/WebSocket 订阅 task runtime 状态变化（后端 task_runtime 已有 cond，只需暴露 server-sent endpoint）。,是
P2,前端布局,frontend/src/components/layout/HistorySidebar.tsx 与 useUiPreferencesStore + useAppearanceStore,"sidebar 折叠状态既存 localStorage（manus.sidebar.collapsed），又有 useAppearanceStore.sidebarStyle/Position；逻辑分散容易冲突。next.csv 已经提到 ""合并 useAppearanceStore""，本项强化：折叠状态也归并。",建立 useLayoutPrefs（sidebarCollapsed、sidebarStyle、sidebarPosition、contentLayout）；SIDEBAR_COLLAPSED_STORAGE_KEY 集中到 frontend/src/constants/storage.ts。,是
P2,前端布局/A11y,frontend/src/components/layout/ManusLayout.tsx,缺 skip-to-content 链接；<main> 没 id；下拉菜单关闭后焦点没回原触发按钮（Header dropdown 自实现部分）。,在 ManusLayout 顶端加 <a href=#main className=sr-only focus:not-sr-only> 跳转到内容</a>；<main id=main tabIndex={-1}>；route 切换后 useEffect 把 main.focus()，让屏幕阅读器读出新页面标题。,是
P2,前端布局,frontend/src/App.tsx 的 RequireAuth 包裹层级,RequireAuth 只是 <Outlet/>（layouts/RequireAuth.tsx 与 components/auth/RequireAuth.tsx 都是空壳）；登录失败/token 失效未做拦截。,RequireAuth 真正实现 useAuthStore 检查：未登录跳 /login；token 过期触发 refresh；提供 useRequireAuth() hook 给非路由组件；统一 401 → store.logout() → navigate('/login')。,是
P2,前端布局/导航,frontend/src/router 与 App.tsx 的二选一,router/index.tsx 是 createBrowserRouter 风格但目前 main.tsx 用的是 BrowserRouter + Routes（声明式），两套并存。,统一到 createBrowserRouter（更现代，支持 loader/action、useRouteError、defer，能配合 Suspense 流式数据）；router 配置即可派生面包屑/标题/layout 变体；Header 与 ManusLayout 用 useMatches() 取 handle。,是
P2,前端/SSR/HMR,frontend/src/stores/useThemeStore.ts:35 _systemListenerAttached + useAppearanceStore.ts:168 applyToDom(DEFAULTS),ThemeStore 用模块级 mutable bool 防重复挂 mediaquery listener；AppearanceStore 在 store 创建期同步 applyToDom——HMR 下重复挂、SSR 下 document is not defined、首屏 default flash。,listener 改用 useEffect 在 root component 内挂；用 navigator/document 检查 + 标志放 state.meta；applyToDom 推迟到 onRehydrateStorage 之后；对 SSR 单测用 jsdom 模拟。,是
P2,性能/前端,frontend/src/hooks/useChat.ts + useDeepThink.ts + tasks pages,长聊天/长 SSE 列表无虚拟化；chatStream 把每条 message 都 mount 一个 MarkdownRenderer，500 条后明显掉帧。,引入 @tanstack/react-virtual（依赖里已经有 @tanstack 系列，复用同一生态）；只虚拟化 list 容器，bubble 内部仍是普通组件；同时把 MessageBubble 拆出 ChatMessageMarkdown + ChatMessageSteps 并 React.memo。,是
P2,性能/前端,frontend/vite.config.ts manualChunks,vendor 切片覆盖 katex/motion/router/tanstack/axios/react-dom，但漏了 react-markdown + remark/rehype + lucide-react + cmdk + radix；首屏拉了一堆未必用到的包。,新增 pkg-markdown（react-markdown + remark-gfm + remark-math + rehype-katex）；pkg-radix（@radix-ui/*）；pkg-cmdk（cmdk）；pkg-icons 默认走 lucide-react tree-shaking 不需切片。,是
P2,性能/前端,frontend/src/api/sse.ts:200-223 流读取,decoder 缓冲在异常网络下可能保留半行很久；服务器静默挂起时无心跳检测。,加 inactivityTimeout（默认 30s 没收到事件判失败）；后端 SSE 端定期 emit '': heartbeat\n\n''；前端识别注释行重置计时；buffer.length > 1MB 主动断开报错。,是
P2,性能/后端,backend/api/tasks.py:327 + repositories/system/tasks.py:572 list_task_events,长任务 events 表可能上千行；列表查询若不分页或 ORDER BY 缺索引会慢。,"task_events 已有 (task_id,seq) 唯一约束（schema.py:350）但缺单列索引于 task_id；list_task_events 默认 limit=2000 偏大，前端只用最近若干条；改 default limit=200 + cursor 分页。",是
P2,性能/后端,backend/shared/tasks/runtime.py:88-99 event flush,task_event_flush_interval_ms=200ms 偏频繁；TaskRuntime 每 task 自己一个 lock，写多任务时很多小批。,提高默认到 500-1000ms（同时仍尊重批 batch_size 触发即时 flush）；在 done/failed/canceled 终态立即强制 flush；为 metrics 暴露 ''events_per_flush'' 平均值。,是
P2,性能/前端,frontend/src/api/instance.ts:270-276 axios timeout=30s + lib/streamEventBatcher.ts maxDelayMs=120,30s 对 paper compose / study materials 等长任务可能不够（虽然这类走 SSE，但 init create 仍是 axios POST）；event batcher 120ms 在弱机上 OK，强机延迟感知偏高。,为长任务 createPaperJob/createLessonPlan 单独提高 timeout（120s）；批延迟设为 60ms 默认（user-agent 强机检测）+ 显式 flush on 'tool_result'/'final' 事件减少首字节延迟感。,是
P2,代码质量/前端,frontend/src/components/MarkdownRenderer.tsx vs SecureMarkdown.tsx,前端有 MarkdownRenderer + SecureMarkdown 两份；SecureMarkdown 在 components/shared 下；调用方各取一份。,合并到 components/shared/Markdown/index.tsx，导出 Markdown（默认 sanitize）+ MarkdownUnsafe；统一 plugin 配置；删 MarkdownRenderer。,是
P2,代码质量/前端,frontend/src/api/ 各域文件 + 复制类型,questionLibrary.ts 17k、papers.ts 10k、chat.ts 10k、questionEvaluate.ts 8k 单文件；类型在 types.ts 又重复定义。,"每个域拆成 api/<domain>/{client.ts,types.ts,sse.ts}；共享类型迁到 frontend/src/types/<domain>.ts；保留 barrel index 兼容现有引用。",是
P2,代码质量/全栈,docs/ARCHITECTURE.md 提到的 ''canonical domain'' 与现实结构,"AGENTS.md 写''target top-level domains: system,auth,workspace,generation,tasks,integrations,shared''，实际 backend/ 仍是 chat/lesson_plan/question_library/paper_compose/study_materials/deepthink/generation 同级；多个迁移仅做了一半。",建立 docs/MIGRATION_PLAN.md 列出每个 domain 现状 → 目标位置 → 迁移 PR 编号；在 CI 加结构 lint 阻止新增旧位置文件；分批 PR：先 generation，再 lesson_plan/study_materials 合并到 generation/，最后整体目录拓扑切换。,是
